epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__clean__none,37,adwin,SEA_A,54.26,57000,2,2,0.1
0,SEA_A__s112__splice__severe,37,adwin,SEA_A,53.62,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,37,adwin,SEA_A,53.88,57000,0,2,0.1
0,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.78,57000,0,2,0.1
0,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.06,57000,1,2,0.1
0,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.68,57000,1,2,0.1
0,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.44,57000,1,2,0.1
1,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.4,57000,1,2,0.1
1,SEA_A__s112__splice__moderate,37,adwin,SEA_A,53.5,57000,0,2,0.1
1,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.18,57000,4,2,0.1
1,SEA_A__s112__splice__severe,37,adwin,SEA_A,53.86,57000,1,2,0.1
1,SEA_A__s112__clean__none,37,adwin,SEA_A,54.16,57000,1,2,0.1
1,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.56,57000,0,2,0.1
1,SEA_A__s112__instance__moderate,37,adwin,SEA_A,53.72,57000,1,2,0.1
2,SEA_A__s112__clean__none,37,adwin,SEA_A,53.56,57000,0,2,0.1
2,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.38,57000,2,2,0.1
2,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.3,57000,3,2,0.1
2,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.0,57000,3,2,0.1
2,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.56,57000,1,2,0.1
2,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.06,57000,2,2,0.1
2,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.8,57000,10,2,0.1
3,SEA_A__s112__concept__severe,37,adwin,SEA_A,54.04,57000,8,2,0.1
3,SEA_A__s112__clean__none,37,adwin,SEA_A,54.28,57000,38,2,0.1
3,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.339999999999996,57000,27,2,0.1
3,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.56,57000,1,2,0.1
3,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.12,57000,33,2,0.1
3,SEA_A__s112__instance__severe,37,adwin,SEA_A,54.0,57000,3,2,0.1
3,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.06,57000,29,2,0.1
