epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__instance__moderate,17,d3_oof,RBF_I,33.54,57000,1,2,0.1
0,RBF_I__s112__clean__none,17,d3_oof,RBF_I,32.9,57000,0,2,0.1
0,RBF_I__s112__concept__severe,17,d3_oof,RBF_I,34.38,57000,0,2,0.1
0,RBF_I__s112__instance__severe,17,d3_oof,RBF_I,31.12,57000,2,2,0.1
0,RBF_I__s112__splice__severe,17,d3_oof,RBF_I,34.06,57000,0,2,0.1
0,RBF_I__s112__splice__moderate,17,d3_oof,RBF_I,35.8,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,17,d3_oof,RBF_I,33.38,57000,1,2,0.1
1,RBF_I__s112__splice__severe,17,d3_oof,RBF_I,33.16,57000,1,2,0.1
1,RBF_I__s112__concept__moderate,17,d3_oof,RBF_I,36.06,57000,0,2,0.1
1,RBF_I__s112__concept__severe,17,d3_oof,RBF_I,34.8,57000,0,2,0.1
1,RBF_I__s112__instance__moderate,17,d3_oof,RBF_I,32.16,57000,1,2,0.1
1,RBF_I__s112__clean__none,17,d3_oof,RBF_I,33.12,57000,1,2,0.1
1,RBF_I__s112__splice__moderate,17,d3_oof,RBF_I,34.68,57000,0,2,0.1
1,RBF_I__s112__instance__severe,17,d3_oof,RBF_I,31.52,57000,2,2,0.1
2,RBF_I__s112__concept__moderate,17,d3_oof,RBF_I,32.64,57000,26,2,0.1
2,RBF_I__s112__concept__severe,17,d3_oof,RBF_I,34.02,57000,0,2,0.1
2,RBF_I__s112__splice__moderate,17,d3_oof,RBF_I,35.660000000000004,57000,0,2,0.1
2,RBF_I__s112__clean__none,17,d3_oof,RBF_I,32.92,57000,0,2,0.1
2,RBF_I__s112__instance__severe,17,d3_oof,RBF_I,30.34,57000,29,2,0.1
2,RBF_I__s112__splice__severe,17,d3_oof,RBF_I,33.82,57000,1,2,0.1
2,RBF_I__s112__instance__moderate,17,d3_oof,RBF_I,34.34,57000,0,2,0.1
3,RBF_I__s112__concept__moderate,17,d3_oof,RBF_I,32.8,57000,27,2,0.1
3,RBF_I__s112__splice__severe,17,d3_oof,RBF_I,31.44,57000,1,2,0.1
3,RBF_I__s112__clean__none,17,d3_oof,RBF_I,32.76,57000,28,2,0.1
3,RBF_I__s112__instance__severe,17,d3_oof,RBF_I,29.82,57000,6,2,0.1
3,RBF_I__s112__concept__severe,17,d3_oof,RBF_I,31.94,57000,23,2,0.1
3,RBF_I__s112__splice__moderate,17,d3_oof,RBF_I,33.32,57000,1,2,0.1
3,RBF_I__s112__instance__moderate,17,d3_oof,RBF_I,31.32,57000,31,2,0.1
