epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,54.24,57000,4,4,0.1
0,SEA_A__s112__clean__none,27,hellinger,SEA_A,53.48,57000,1,4,0.1
0,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.4,57000,4,4,0.1
0,SEA_A__s112__splice__severe,27,hellinger,SEA_A,53.78,57000,1,4,0.1
0,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,52.94,57000,0,4,0.1
0,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.54,57000,1,4,0.1
0,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.68,57000,2,4,0.1
1,SEA_A__s112__clean__none,27,hellinger,SEA_A,54.019999999999996,57000,2,4,0.1
1,SEA_A__s112__splice__severe,27,hellinger,SEA_A,53.88,57000,1,4,0.1
1,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.78,57000,0,4,0.1
1,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,53.96,57000,2,4,0.1
1,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.5,57000,1,4,0.1
1,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,53.14,57000,1,4,0.1
1,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.7,57000,2,4,0.1
2,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.839999999999996,57000,2,4,0.1
2,SEA_A__s112__splice__severe,27,hellinger,SEA_A,54.019999999999996,57000,3,4,0.1
2,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.36,57000,16,4,0.1
2,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,54.2,57000,16,4,0.1
2,SEA_A__s112__clean__none,27,hellinger,SEA_A,53.86,57000,1,4,0.1
2,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.66,57000,34,4,0.1
2,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,53.839999999999996,57000,1,4,0.1
3,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,54.42,57000,15,4,0.1
3,SEA_A__s112__clean__none,27,hellinger,SEA_A,54.12,57000,36,4,0.1
3,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,54.18,57000,26,4,0.1
3,SEA_A__s112__instance__severe,27,hellinger,SEA_A,54.14,57000,24,4,0.1
3,SEA_A__s112__splice__severe,27,hellinger,SEA_A,53.88,57000,2,4,0.1
3,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.68,57000,34,4,0.1
3,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.32,57000,15,4,0.1
