stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,filter_poison_recall,filter_legitimate_rejection,detector,filter,filter_seed,status,folder
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,526.0,12000.0,10874,8125.0,0.0,0,0.5346841659920756,False,600.0,confirmed,True,10450,0.34373205741626794,0.34314078176050994,0,0,,10450,3275,0.3133971291866029,,,,0.05033492822966507,adwin,learned_features_label,17.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_label_seed_17
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,623.0,12000.0,12559,9864.0,2688.0,1,0.5645717080042232,False,600.0,confirmed,True,10450,0.3605741626794258,0.3597064604073794,0,0,,10450,2431,0.2326315789473684,,,,0.05961722488038278,adwin,learned_features_label,27.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_label_seed_27
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,553.0,12000.0,12644,9009.0,2702.0,1,0.5622664589900523,False,600.0,confirmed,True,10450,0.3579904306220096,0.3564629595426841,0,0,,10450,3286,0.31444976076555026,,,,0.05291866028708134,adwin,learned_features_label,37.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_label_seed_37
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,267.0,12000.0,13000,9287.0,2793.0,1,0.5721584169950802,False,600.0,confirmed,True,10450,0.3615311004784689,0.35680041931428574,0,0,,10450,3041,0.2910047846889952,,,,0.02555023923444976,adwin,learned_features_label,47.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_label_seed_47
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,856.0,12000.0,10544,7034.0,0.0,0,0.5062109169957694,True,600.0,confirmed,True,10450,0.36,0.3585786454748995,0,0,,10450,4366,0.41779904306220095,,,,0.08191387559808612,adwin,learned_features_label,7.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_label_seed_7
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,439.0,12000.0,12784,9141.0,2733.0,1,0.5805199579917826,False,600.0,confirmed,True,10450,0.3605741626794258,0.355465162678697,0,0,,10450,3174,0.30373205741626796,,,,0.04200956937799043,adwin,learned_features,17.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_seed_17
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,371.0,12000.0,12823,10050.0,2693.0,1,0.5650820830196608,False,600.0,confirmed,True,10450,0.3663157894736842,0.36144096192585556,0,0,,10450,3144,0.3008612440191388,,,,0.035502392344497605,adwin,learned_features,27.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_seed_27
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,432.0,12000.0,12798,10096.0,2740.0,1,0.5706787079980131,False,600.0,confirmed,True,10450,0.3616267942583732,0.35493437850764187,0,0,,10450,2222,0.21263157894736842,,,,0.04133971291866029,adwin,learned_features,37.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_seed_37
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,506.0,12000.0,12677,9933.0,2676.0,1,0.5555921249906532,False,600.0,confirmed,True,10450,0.39799043062200956,0.3910065651690219,0,0,,10450,3250,0.31100478468899523,,,,0.04842105263157895,adwin,learned_features,47.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_seed_47
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,482.0,12000.0,12724,8210.0,2721.0,1,0.5659817919950001,False,600.0,confirmed,True,10450,0.3497607655502392,0.3419532209227435,0,0,,10450,4094,0.39177033492822966,,,,0.046124401913875596,adwin,learned_features,7.0,complete,results/per_dataset_study/integration_full_study/filters/runs/RBF_I/adwin/RBF_I__s9913__clean__none/learned_features_seed_7
