rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,malicious_recall_reference,benign_fpr_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
60000,57000,50350,0,0,0.8860320829844568,False,3000,none,True,56050,0.8937912578055308,0.8826433723016265,0,0,,56050,6650,0.11864406779661017,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.01,5,4,complete,0.9003181924123496,0.908278322925959,,0.1694915254237288,2,60800,0.7778735409956425,,,-0.017674820110723077,-0.014487065120428189,,-0.050847457627118633,-2,-3800,0.10815854198881425,,
60000,57000,55100,0,0,0.9487630410003476,False,3000,none,True,56050,0.8955396966993756,0.8855610635550317,0,0,,56050,1900,0.03389830508474576,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.8112437500094529,,,-0.014472491180623104,-0.012542372881355845,,-0.016949152542372885,-2,-3800,0.13751929099089466,,
60000,57000,48450,0,0,0.8858867499802727,False,3000,none,True,56050,0.8912399643175736,0.8796171820130717,0,0,,56050,8550,0.15254237288135594,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7903986669844016,,,-0.024867407116439533,-0.020981266726137426,,-0.0847457627118644,-2,-3800,0.09548808299587108,,
60000,57000,54150,0,0,0.935552540991921,False,3000,none,True,56050,0.8944692239072257,0.8842192960308786,0,0,,56050,2850,0.05084745762711865,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.02,1,0,complete,0.9010264637547566,0.908528099910794,,0.1016949152542373,1,60800,0.848824374988908,,,-0.016807167723878025,-0.014058876003568255,,-0.05084745762711865,-1,-3800,0.08672816600301303,,
60000,57000,54150,0,0,0.9585217909916537,False,3000,none,True,56050,0.8946297948260482,0.8843860340520493,0,0,,56050,2850,0.05084745762711865,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.05,1,0,complete,0.9010489231629448,0.9085459411239964,,0.13559322033898305,1,58900,0.8489456249953946,,,-0.01666288911089553,-0.01391614629794824,,-0.0847457627118644,-1,-1900,0.10957616599625908,,
60000,60800,57950,5700,2,0.8112437500094529,False,3000,confirmed,True,56050,0.9080820695807315,0.9000335547356548,0,0,,56050,2850,0.05084745762711865,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,confirmed,adwin,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.8112437500094529,,,0.0,0.0,,0.0,0,0,0.0,,
60000,60800,51300,5700,2,0.7778735409956425,False,3000,confirmed,True,56050,0.908278322925959,0.9003181924123496,0,0,,56050,9500,0.1694915254237288,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,confirmed,adwin,0.01,5,4,complete,0.9003181924123496,0.908278322925959,,0.1694915254237288,2,60800,0.7778735409956425,,,0.0,0.0,,0.0,0,0,0.0,,
60000,57000,39900,0,0,0.8592234159877989,False,3000,none,True,56050,0.8918108831400535,0.8804100424635142,0,0,,56050,17100,0.3050847457627119,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,no_reset,adwin,0.05,5,4,complete,0.8847023825393403,0.8954326494201605,,0.23728813559322035,0,58900,0.8784850839874707,,,-0.004292340075826129,-0.0036217662801070194,,0.06779661016949154,0,-1900,-0.019261667999671772,,
60000,60800,53200,2850,1,0.848824374988908,False,3000,confirmed,True,56050,0.908528099910794,0.9010264637547566,0,0,,56050,5700,0.1016949152542373,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,confirmed,adwin,0.02,1,0,complete,0.9010264637547566,0.908528099910794,,0.1016949152542373,1,60800,0.848824374988908,,,0.0,0.0,,0.0,0,0,0.0,,
60000,60800,47500,5700,2,0.7903986669844016,False,3000,confirmed,True,56050,0.912221231043711,0.9044845891295112,0,0,,56050,13300,0.23728813559322035,,,SEA_A__s115__clean__none,SEA_A,clean,none,115.0,confirmed,adwin,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7903986669844016,,,0.0,0.0,,0.0,0,0,0.0,,
