epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__clean__none,7,hellinger,RBF_I,32.76,57000,2,2,0.1
0,RBF_I__s112__splice__moderate,7,hellinger,RBF_I,31.22,57000,3,2,0.1
0,RBF_I__s112__splice__severe,7,hellinger,RBF_I,33.7,57000,0,2,0.1
0,RBF_I__s112__instance__severe,7,hellinger,RBF_I,30.0,57000,2,2,0.1
0,RBF_I__s112__concept__severe,7,hellinger,RBF_I,32.6,57000,1,2,0.1
0,RBF_I__s112__instance__moderate,7,hellinger,RBF_I,32.1,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,hellinger,RBF_I,33.18,57000,3,2,0.1
1,RBF_I__s112__splice__severe,7,hellinger,RBF_I,33.52,57000,2,2,0.1
1,RBF_I__s112__instance__severe,7,hellinger,RBF_I,32.12,57000,0,2,0.1
1,RBF_I__s112__clean__none,7,hellinger,RBF_I,33.0,57000,1,2,0.1
1,RBF_I__s112__concept__moderate,7,hellinger,RBF_I,33.46,57000,1,2,0.1
1,RBF_I__s112__concept__severe,7,hellinger,RBF_I,34.36,57000,0,2,0.1
1,RBF_I__s112__instance__moderate,7,hellinger,RBF_I,33.64,57000,1,2,0.1
1,RBF_I__s112__splice__moderate,7,hellinger,RBF_I,31.52,57000,3,2,0.1
2,RBF_I__s112__concept__severe,7,hellinger,RBF_I,31.98,57000,18,2,0.1
2,RBF_I__s112__instance__severe,7,hellinger,RBF_I,31.94,57000,1,2,0.1
2,RBF_I__s112__clean__none,7,hellinger,RBF_I,32.800000000000004,57000,27,2,0.1
2,RBF_I__s112__concept__moderate,7,hellinger,RBF_I,32.84,57000,28,2,0.1
2,RBF_I__s112__splice__severe,7,hellinger,RBF_I,32.660000000000004,57000,18,2,0.1
2,RBF_I__s112__instance__moderate,7,hellinger,RBF_I,31.22,57000,28,2,0.1
2,RBF_I__s112__splice__moderate,7,hellinger,RBF_I,34.5,57000,0,2,0.1
3,RBF_I__s112__concept__severe,7,hellinger,RBF_I,33.06,57000,1,2,0.1
3,RBF_I__s112__instance__moderate,7,hellinger,RBF_I,31.44,57000,32,2,0.1
3,RBF_I__s112__splice__severe,7,hellinger,RBF_I,34.14,57000,0,2,0.1
3,RBF_I__s112__concept__moderate,7,hellinger,RBF_I,33.84,57000,2,2,0.1
3,RBF_I__s112__clean__none,7,hellinger,RBF_I,32.480000000000004,57000,28,2,0.1
3,RBF_I__s112__instance__severe,7,hellinger,RBF_I,31.82,57000,2,2,0.1
3,RBF_I__s112__splice__moderate,7,hellinger,RBF_I,32.12,57000,29,2,0.1
